epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.8173,2.00842,3.67925,0.03995,0.29113,0.23807,0.18223,0.06745,1.90461,2.79204,0.04363,1.99433e-05,1.99433e-05,0.0750908
2,99.8363,1.75954,2.86374,0.03399,0.25772,0.38678,0.24515,0.1035,1.73802,2.34152,0.0384,3.99433e-05,3.99433e-05,0.0501108
3,140.911,1.7132,2.67675,0.03252,0.36277,0.44791,0.33972,0.13392,1.89255,2.07652,0.04139,5.99432e-05,5.99432e-05,0.0251308
