epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1219.61,1.14503,1.0388,1.28449,0.84463,0.85651,0.91206,0.64157,1.03926,0.77104,1.18437,0.000990365,0.000990365,0.000990365
43,1248.08,1.14715,1.02155,1.305,0.80988,0.90562,0.91196,0.64826,1.06397,0.77126,1.1988,0.000973861,0.000973861,0.000973861
44,1276.51,1.17998,1.02324,1.30238,0.83037,0.93814,0.91989,0.66416,1.03502,0.70334,1.15144,0.000957358,0.000957358,0.000957358
45,1304.77,1.14552,1.04102,1.29123,0.83777,0.90409,0.92858,0.67442,1.02055,0.71544,1.14329,0.000940855,0.000940855,0.000940855
46,1333.44,1.13135,0.96809,1.2773,0.85777,0.91047,0.9147,0.6493,1.03561,0.74559,1.17759,0.000924352,0.000924352,0.000924352
47,1362.06,1.17223,1.03875,1.31187,0.84058,0.90573,0.91106,0.64347,1.01737,0.75688,1.17108,0.000907848,0.000907848,0.000907848
48,1390.92,1.13449,0.99787,1.27632,0.86042,0.86847,0.92604,0.65347,1.04304,0.74484,1.15434,0.000891345,0.000891345,0.000891345
49,1419.44,1.15101,0.94612,1.2873,0.83868,0.89613,0.90697,0.64325,1.04576,0.75849,1.17134,0.000874842,0.000874842,0.000874842
50,1447.91,1.10124,0.95695,1.27513,0.85598,0.89061,0.92145,0.66508,1.02884,0.73369,1.15161,0.000858338,0.000858338,0.000858338
51,1476.75,1.10832,0.98459,1.26898,0.82445,0.91328,0.90279,0.65537,1.00968,0.73299,1.1553,0.000841835,0.000841835,0.000841835
52,1505.29,1.10559,0.97421,1.27191,0.81919,0.88946,0.90194,0.65233,1.01948,0.72836,1.16799,0.000825332,0.000825332,0.000825332
53,1533.63,1.13529,0.9549,1.28292,0.82964,0.89824,0.92559,0.66124,1.02102,0.73738,1.17486,0.000808828,0.000808828,0.000808828
54,1561.72,1.14269,1.00272,1.29301,0.857,0.89798,0.92272,0.66456,1.01755,0.71324,1.16014,0.000792325,0.000792325,0.000792325
55,1589.99,1.11736,0.95794,1.26776,0.83347,0.90458,0.92784,0.66447,1.01422,0.70822,1.19024,0.000775822,0.000775822,0.000775822
56,1619.21,1.1015,0.9571,1.27807,0.85061,0.91316,0.9313,0.67858,1.00489,0.68307,1.16965,0.000759318,0.000759318,0.000759318
57,1647.9,1.15198,0.96663,1.29949,0.80504,0.9108,0.92187,0.6611,1.01182,0.716,1.15576,0.000742815,0.000742815,0.000742815
58,1676.73,1.08497,0.9131,1.2597,0.83985,0.90267,0.91539,0.66842,0.98791,0.70578,1.1446,0.000726312,0.000726312,0.000726312
59,1705.47,1.09691,0.92504,1.25777,0.82719,0.92534,0.9102,0.66912,0.98491,0.73092,1.15056,0.000709809,0.000709809,0.000709809
60,1734.34,1.06397,0.93372,1.2369,0.8303,0.88156,0.91861,0.6657,1.01039,0.74101,1.15554,0.000693305,0.000693305,0.000693305
61,1762.92,1.08857,0.94759,1.24025,0.82325,0.93202,0.93358,0.66263,1.02427,0.68231,1.1495,0.000676802,0.000676802,0.000676802
62,1791.26,1.08422,0.94925,1.24765,0.84723,0.91363,0.92792,0.666,1.00711,0.67346,1.16819,0.000660299,0.000660299,0.000660299
63,1819.37,1.06327,0.92968,1.24576,0.80583,0.91503,0.91362,0.66276,1.02093,0.70962,1.16298,0.000643795,0.000643795,0.000643795
64,1847.66,1.0677,0.94584,1.22979,0.83729,0.90955,0.92243,0.66691,1.007,0.70837,1.1562,0.000627292,0.000627292,0.000627292
65,1875.82,1.07567,0.90852,1.24879,0.83949,0.90938,0.9182,0.66946,1.00189,0.71316,1.16096,0.000610789,0.000610789,0.000610789
66,1904.26,1.03639,0.9021,1.23064,0.84541,0.90793,0.9287,0.67399,1.01238,0.68143,1.15501,0.000594286,0.000594286,0.000594286
67,1933.33,1.08296,0.91385,1.24617,0.84508,0.91694,0.9264,0.67021,1.01323,0.70229,1.16679,0.000577782,0.000577782,0.000577782
68,1961.71,1.10704,0.95976,1.27314,0.84024,0.9269,0.90263,0.64587,1.02618,0.71188,1.1629,0.000561279,0.000561279,0.000561279
69,1990.08,1.04294,0.91102,1.23786,0.8474,0.92077,0.93228,0.68381,0.98946,0.67143,1.13795,0.000544776,0.000544776,0.000544776
70,2018.9,1.10065,0.86947,1.27775,0.82117,0.92817,0.93202,0.68158,1.0333,0.68984,1.16837,0.000528272,0.000528272,0.000528272
71,2047.16,1.034,0.88326,1.22462,0.84406,0.93968,0.93824,0.68969,0.97758,0.64632,1.14995,0.000511769,0.000511769,0.000511769
72,2075.46,1.03939,0.84912,1.23168,0.83623,0.9321,0.93822,0.6866,0.97856,0.66689,1.14563,0.000495266,0.000495266,0.000495266
73,2103.9,1.04928,0.85483,1.22094,0.87489,0.88289,0.92388,0.67496,0.99993,0.66776,1.15194,0.000478762,0.000478762,0.000478762
74,2132.18,0.99818,0.80718,1.20293,0.87316,0.90859,0.9202,0.66228,1.0176,0.65739,1.16254,0.000462259,0.000462259,0.000462259
75,2160.7,1.06459,0.87238,1.24761,0.8637,0.89424,0.93141,0.68245,0.99217,0.6679,1.14675,0.000445756,0.000445756,0.000445756
76,2189.32,1.04742,0.86897,1.23846,0.82805,0.92764,0.9345,0.69216,0.98117,0.64493,1.14087,0.000429253,0.000429253,0.000429253
77,2217.75,1.01144,0.85803,1.21263,0.85007,0.90663,0.93084,0.68907,1.00889,0.66222,1.14609,0.000412749,0.000412749,0.000412749
78,2244.71,1.05065,0.8645,1.21948,0.81345,0.9312,0.9242,0.68566,1.0139,0.68139,1.13997,0.000396246,0.000396246,0.000396246
79,2271.31,1.05523,0.87528,1.21789,0.8373,0.91707,0.92173,0.68933,0.97588,0.67398,1.12903,0.000379743,0.000379743,0.000379743
80,2298.06,1.0283,0.82546,1.21619,0.84213,0.91328,0.92658,0.68851,0.97713,0.65875,1.13761,0.000363239,0.000363239,0.000363239
81,2324.54,1.03291,0.82489,1.22723,0.85602,0.92458,0.92589,0.68695,0.97566,0.65448,1.14029,0.000346736,0.000346736,0.000346736
82,2350.96,1.00515,0.85293,1.20368,0.85509,0.9208,0.92839,0.68636,0.98155,0.64448,1.11916,0.000330233,0.000330233,0.000330233
83,2377.15,1.02569,0.82433,1.21943,0.84834,0.89434,0.91992,0.68692,0.96486,0.66027,1.11859,0.000313729,0.000313729,0.000313729
84,2403.55,1.00419,0.82484,1.19662,0.83538,0.91519,0.92997,0.68541,0.96707,0.66106,1.12158,0.000297226,0.000297226,0.000297226
85,2429.7,0.96829,0.79821,1.18747,0.88897,0.88553,0.93728,0.69712,0.97245,0.64055,1.12393,0.000280723,0.000280723,0.000280723
86,2456.11,1.00672,0.82025,1.21935,0.86233,0.91964,0.93045,0.67656,0.97862,0.65099,1.12741,0.00026422,0.00026422,0.00026422
87,2482.78,0.9806,0.80767,1.19411,0.87057,0.90347,0.92674,0.68019,0.96693,0.65143,1.12406,0.000247716,0.000247716,0.000247716
88,2508.98,0.98945,0.7754,1.19573,0.88783,0.88688,0.93508,0.70036,0.9624,0.64082,1.12586,0.000231213,0.000231213,0.000231213
89,2535.22,0.98124,0.78973,1.19397,0.88781,0.89813,0.93424,0.70403,0.97395,0.63583,1.12894,0.00021471,0.00021471,0.00021471
90,2561.54,0.94915,0.77978,1.1721,0.87547,0.89632,0.9377,0.69685,0.9845,0.62842,1.13323,0.000198206,0.000198206,0.000198206
91,2587.4,0.82043,0.55613,1.06533,0.84939,0.91965,0.92673,0.68245,0.97867,0.63726,1.13455,0.000181703,0.000181703,0.000181703
92,2613.62,0.80914,0.54474,1.06581,0.86123,0.89928,0.92994,0.68164,0.98488,0.63625,1.14009,0.0001652,0.0001652,0.0001652
93,2639.66,0.80155,0.53854,1.04948,0.89307,0.87058,0.93755,0.69151,0.96664,0.6271,1.13167,0.000148696,0.000148696,0.000148696
94,2665.68,0.79237,0.51925,1.06569,0.88156,0.8926,0.94042,0.69311,0.97099,0.62393,1.12841,0.000132193,0.000132193,0.000132193
95,2691.83,0.79934,0.51747,1.04894,0.88885,0.87537,0.93672,0.69102,0.96955,0.62981,1.12783,0.00011569,0.00011569,0.00011569
96,2717.78,0.79919,0.51408,1.05175,0.88543,0.89084,0.94272,0.69468,0.96949,0.6167,1.12558,9.91865e-05,9.91865e-05,9.91865e-05
97,2743.8,0.80007,0.5125,1.05387,0.88559,0.88679,0.94802,0.70018,0.96055,0.60888,1.11916,8.26832e-05,8.26832e-05,8.26832e-05
98,2769.73,0.78696,0.50425,1.04478,0.89011,0.89022,0.94907,0.70408,0.95958,0.60558,1.12068,6.61799e-05,6.61799e-05,6.61799e-05
99,2795.85,0.78344,0.50159,1.04448,0.88602,0.888,0.94868,0.70506,0.95254,0.60867,1.11799,4.96766e-05,4.96766e-05,4.96766e-05
100,2821.72,0.76638,0.5081,1.04271,0.88371,0.88746,0.9462,0.70111,0.9556,0.61149,1.11921,3.31733e-05,3.31733e-05,3.31733e-05
