epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5136,1.36149,2.53693,1.42123,0.4704,0.69851,0.52385,0.32466,1.20544,1.89122,1.28351,0.000554093,0.000554093,0.000554093
2,60.0177,1.50251,2.18026,1.47513,0.3937,0.61893,0.44715,0.25975,1.37664,2.46224,1.45317,0.00109877,0.00109877,0.00109877
3,88.5766,1.53721,2.0548,1.51153,0.60087,0.59609,0.62112,0.34684,1.42414,2.03346,1.50617,0.00163245,0.00163245,0.00163245
4,114.863,1.49473,1.97232,1.50939,0.40358,0.64909,0.47211,0.26595,1.35765,2.19082,1.4097,0.00161749,0.00161749,0.00161749
5,141.142,1.48231,1.83653,1.48217,0.48518,0.7078,0.62134,0.37873,1.29497,1.99333,1.32895,0.00160099,0.00160099,0.00160099
6,166.054,1.51461,1.74933,1.50265,0.7214,0.74757,0.75215,0.46352,1.30015,1.26884,1.34757,0.00158448,0.00158448,0.00158448
7,190.639,1.45725,1.63937,1.47493,0.69155,0.74732,0.75529,0.43608,1.3851,1.42219,1.41226,0.00156798,0.00156798,0.00156798
8,215.315,1.44889,1.59584,1.46645,0.69887,0.76156,0.75567,0.47688,1.2499,1.37486,1.29954,0.00155148,0.00155148,0.00155148
9,240.295,1.4117,1.56318,1.44484,0.72358,0.78924,0.81007,0.51262,1.22223,1.22708,1.27374,0.00153497,0.00153497,0.00153497
10,265.045,1.36473,1.52038,1.42902,0.68687,0.84241,0.79749,0.50559,1.25953,1.21127,1.32041,0.00151847,0.00151847,0.00151847
11,289.666,1.40336,1.45463,1.45863,0.75965,0.74006,0.77591,0.51043,1.17815,1.21001,1.27942,0.00150197,0.00150197,0.00150197
12,314.263,1.38065,1.42658,1.42915,0.66084,0.81499,0.77232,0.49201,1.18349,1.1367,1.27822,0.00148546,0.00148546,0.00148546
13,338.973,1.37694,1.38836,1.41555,0.73097,0.8488,0.81977,0.52821,1.21412,1.09937,1.3134,0.00146896,0.00146896,0.00146896
14,363.961,1.34174,1.35018,1.38415,0.72582,0.79548,0.81966,0.52153,1.2313,1.15189,1.30258,0.00145246,0.00145246,0.00145246
15,388.739,1.33276,1.36505,1.41075,0.74021,0.83646,0.82437,0.53644,1.13291,1.04026,1.25989,0.00143595,0.00143595,0.00143595
16,413.442,1.31004,1.28652,1.3827,0.79067,0.85288,0.85847,0.57279,1.11801,1.01451,1.23902,0.00141945,0.00141945,0.00141945
17,438.235,1.31876,1.27137,1.39937,0.77571,0.87158,0.86488,0.56017,1.16903,1.04242,1.27729,0.00140295,0.00140295,0.00140295
18,462.99,1.32479,1.27396,1.40637,0.78148,0.87927,0.87238,0.5876,1.1495,0.99015,1.2486,0.00138644,0.00138644,0.00138644
19,487.725,1.28846,1.21648,1.36875,0.80079,0.86412,0.88836,0.58778,1.14128,0.9337,1.24821,0.00136994,0.00136994,0.00136994
20,512.395,1.29538,1.30287,1.38209,0.7419,0.77135,0.82643,0.54459,1.12779,1.07911,1.24938,0.00135344,0.00135344,0.00135344
21,537.385,1.27322,1.23291,1.35919,0.7663,0.87795,0.82376,0.56194,1.13334,0.94624,1.22067,0.00133693,0.00133693,0.00133693
22,562.307,1.29236,1.22636,1.38683,0.75407,0.84925,0.85213,0.55289,1.15553,0.97446,1.27646,0.00132043,0.00132043,0.00132043
