epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.0446,1.15862,0.92168,1.51972,0.83658,0.94314,0.93259,0.63258,1.23945,0.62818,1.65787,0.0750908,1.99433e-05,1.99433e-05
2,67.9429,1.00935,0.85586,1.41013,0.89033,0.92082,0.93453,0.65186,1.14429,0.58949,1.59658,0.0501108,3.99433e-05,3.99433e-05
3,94.4364,0.96228,0.78477,1.38259,0.89912,0.89166,0.93342,0.65389,1.16416,0.61868,1.56167,0.0251308,5.99432e-05,5.99432e-05
4,118.97,0.93563,0.75038,1.36547,0.8856,0.91832,0.9374,0.67127,1.1101,0.60601,1.51901,0.000150764,7.99429e-05,7.99429e-05
5,144.184,0.93467,0.7874,1.37761,0.88442,0.90403,0.93689,0.66705,1.13165,0.60993,1.54917,7.99992e-05,7.99992e-05,7.99992e-05
